doc_id,word_count,chars,path
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,4685,28764,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement_cleaned.txt
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,4169,26287,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT_cleaned.txt
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,1915,11917,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT_cleaned.txt
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,13759,86746,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT_cleaned.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,3777,24203,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT_cleaned.txt
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,15397,97893,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT_cleaned.txt
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",4204,25722,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT_cleaned.txt"
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ",2488,15281,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement _cleaned.txt"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",1890,11983,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)_cleaned.txt"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",1890,11983,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT_cleaned.txt"
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,17954,112250,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT_cleaned.txt
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,3388,20619,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement_cleaned.txt
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,26097,167232,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement_cleaned.txt
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,10498,68633,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement_cleaned.txt
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,11524,72320,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT_cleaned.txt
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,18972,113831,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT_cleaned.txt
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,1847,11289,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT_cleaned.txt
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,21175,129721,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT_cleaned.txt
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,5621,35438,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement_cleaned.txt
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,6069,37730,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement_cleaned.txt
